municipio,ano,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Capitao Poco,2007,0.6563796591753586,0.869831506061329,0.4472668601241238,0.6610906488496957,1914.13645783318,26.383044528922174,30.953713274204098,17.097893993938786,2321.5351395504786,1502301,2400.0
Conceicao Do Araguaia,2007,0.6915177310112655,0.8201434482587147,0.44976313859358535,0.5903486808202109,1355.8362904575956,26.167435017242312,30.242200682611653,18.377064578684326,1342.2854669353799,1502707,3000.0
Dom Eliseu,2007,0.6431178339574382,0.8726252759609988,0.4424539571777383,0.6571416949160799,1405.707812709318,25.54139831938261,29.831397019839926,16.903659313632588,2652.301460047027,1502939,3300.0
Floresta Do Araguaia,2007,0.6826665509062437,0.8312481841471759,0.4511776660432249,0.5925452736574683,1348.6262699784027,25.967429645691688,29.868914167025096,18.011272572378612,1285.6021617896529,1503044,3000.0
Novo Progresso,2007,0.7218538422412667,0.8954412238055078,0.4679679244370776,0.6672674277186211,1873.7243393680358,24.46123200352611,28.73414268004918,16.87111538880798,2392.9355278521175,1505031,3000.0
Ourilandia Do Norte,2007,0.7695616106258978,0.9011177876864889,0.5242955325720748,0.6976099496655916,1450.996149135704,24.516035108332723,28.512233010699955,17.326672755625946,1504.4887971570797,1505437,2880.0
Paragominas,2007,0.6355291831129032,0.8912017033080813,0.4280041854731028,0.6649203113507244,1643.8305609419917,26.04643351755715,30.57212377225002,16.99564269069348,3150.682580982886,1505502,3500.0
Pau D'arco,2007,0.7221944805560967,0.8525494618500171,0.49089795639281186,0.6337403088809358,1401.3711183883295,25.54409947646652,29.463283984006125,17.936897968923763,1240.2784811982663,1505551,3000.0
Redencao,2007,0.7162702174937216,0.8383844251126306,0.4993565664625939,0.6382046019239302,1348.3974695864595,25.550296311210342,29.631247926153605,18.038893211157948,1336.4808242203153,1506138,2400.0
Santa Maria Das Barreiras,2007,0.718793393579866,0.8321516858834688,0.4815012497430937,0.6112129033841426,1325.784962486358,25.537817386549214,29.766248692868718,18.15537924674701,1772.117136001517,1506583,3000.0
Santana Do Araguaia,2007,0.737254934510797,0.83909651069898,0.49390642235696225,0.6261999202457449,1283.0970389492015,25.505975433908894,29.775682367736373,18.230435945789793,2067.165995700204,1506708,3300.0
Santarem,2007,0.5447310200850753,0.8100784517429521,0.37173928723514377,0.6171295512453081,1703.6800752274214,25.95837493309662,29.10969907799895,16.315753642325873,1832.4813809526188,1506807,2400.0
