municipio,ano,soy_area_ha,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Uruara,2014,31.04860805664065,0.4530392857142857,0.8401500000000001,0.3179321428571429,0.61795,1801.963860233212,24.85397709741306,28.94432154949093,15.50776484008544,2398.76919487364,1508159,2976
Altamira,2015,155.4197067331835,0.6827422857142857,0.9088080000000001,0.5226922857142857,0.8286680000000001,1826.657351161186,24.81864027442262,28.99988911110063,16.6685518586838,2468.818861013186,1500602,3600
Belterra,2015,10327.1059540494,0.4326763173923491,0.8254019276853365,0.3195012992544566,0.7337411557103081,1480.665355038124,26.46430435847776,29.29810924836622,17.41293996040286,1516.221441718096,1501451,3000
Conceicao Do Araguaia,2015,408.388966375733,0.6161623100303953,0.8383489361702129,0.4247825227963526,0.6724425531914895,1754.192788853776,25.99458165453794,30.06843541103689,18.16432672683127,1286.754889059572,1502707,3000
Cumaru Do Norte,2015,6846.559493408045,0.6841731240330085,0.8972213898916972,0.5256300541516251,0.8146255415162459,1863.703964430038,24.37870227327034,28.58345760867261,17.45825533343382,1834.830288231679,1502764,3000
Dom Eliseu,2015,26429.59802966425,0.4502849082059956,0.8801309123612491,0.3430660116802875,0.8311657468946161,1752.738691894067,25.51601951258825,29.93058199187579,17.2318702289479,2843.453044077936,1502939,3300
Floresta Do Araguaia,2015,1092.625832934576,0.5642393048128342,0.829455614973262,0.3922291825821236,0.6659310160427807,1679.064422834892,25.81765834428245,29.75342690388228,17.93458718434472,1253.028408780197,1503044,3000
Novo Progresso,2015,344.0484578234884,0.5991627142857143,0.8889199999999999,0.4364774285714285,0.8046120000000003,1960.298391667011,24.42510138598506,28.65726957783133,16.8175788700419,2332.047373853005,1505031,3000
Paragominas,2015,58277.88940849239,0.4377438324309817,0.8823308226585385,0.3311090441271815,0.7979999111233023,1890.29997545558,25.96384688254573,30.57566236123819,17.3159277674471,3294.28490279937,1505502,2900
Redencao,2015,1711.230162269718,0.5916503316326531,0.8552550000000002,0.4244924489795915,0.7102457142857149,1829.156217634179,25.39118285777499,29.44589138437721,17.81313593626026,1286.509121306366,1506138,3000
Rio Maria,2015,75.2209409118653,0.6688686813186814,0.9011846153846156,0.5204983516483518,0.8238307692307694,1601.447522311109,25.40715721619808,29.28208974288246,17.86335042402655,1203.466630378848,1506161,3779
Rondon Do Para,2015,10211.96957501021,0.4682268025094469,0.8838752574535138,0.3514637104949825,0.8378311954476739,1948.183440798108,25.43553538690461,29.70642025791797,17.38732141141569,2316.752135173013,1506187,3300
Ruropolis,2015,8.203417932128904,0.4692,0.5843,0.3414428571428572,0.432,1688.412337733044,25.15785787157483,29.35545822274364,16.48878283489416,2185.455260538346,1506195,2700
Santa Maria Das Barreiras,2015,7208.31643534738,0.6135296973668519,0.8649105921601333,0.4434291016323129,0.7494333611342792,1760.250496679874,25.33142786424342,29.47427238337039,17.7699244960629,1633.90319263932,1506583,3100
Santana Do Araguaia,2015,30755.35319229218,0.6340633131408565,0.8944640731375209,0.4602524175396671,0.7762669325034037,1734.457004737569,25.24224506436784,29.41842906758351,17.71378734339084,1866.354959174149,1506708,2700
Santarem,2015,24444.80581503741,0.4422545893977882,0.8444076151149326,0.3240838120651729,0.7292028686976256,1553.03827483537,26.35867820804414,29.65494697679852,17.35698328929577,2218.086472312757,1506807,3000
